id,username,day,time,course,venue,academicyear,division,is_rescheduled
77,rasikabeohar,Friday,09:30 - 10:30,"Scientific Studies of Mind, Matter, Spirit & Consciousness",VK-307,FY,MTECHEVLSI-SECA,f
78,rasikabeohar,Friday,10:45 - 11:45,"Scientific Studies of Mind, Matter, Spirit & Consciousness",VK-307,FY,MTECHEVLSI-SECA,f
79,bharatchaudhari,Friday,11:45 - 12:45,Research Methodology,VK-307,FY,MTECHEVLSI-SECA,f
80,savitrijadhav,Friday,13:30 - 15:30,Advanced Embedded Systems(LAB),VK-307,FY,MTECHEVLSI-SECA,f
81,ujjawalarawandale,Monday,08:30 - 10:30,Digital Electronics (DE) - G1,VK-302,SY,ECEAIML-SECA,f
82,shrutidanve,Monday,08:30 - 10:30,Project-Based Learning-I (G3),VK-301,SY,ECEAIML-SECA,f
83,chetankhadse,Monday,10:45 - 11:45,Signals and Systems (SS),DR-405,SY,ECEAIML-SECA,f
84,arpitadeodikar,Monday,11:45 - 12:45,Calculus and Statistical Methods (CSM),DR-405,SY,ECEAIML-SECA,f
85,amolsajjan,Monday,13:30 - 14:30,ESD,DR-405,SY,ECEAIML-SECA,f
86,amolsajjan,Monday,14:30 - 15:30,ESD,DR-405,SY,ECEAIML-SECA,f
87,arpitadeodikar,Tuesday,09:30 - 10:30,Calculus and Statistical Methods (CSM) - Theory,KS- 407,SY,ECEAIML-SECA,f
88,ujjawalarawandale,Tuesday,10:45 - 11:45,Digital Electronics (DE),DR-405,SY,ECEAIML-SECA,f
89,chetankhadse,Tuesday,11:45 - 12:45,Signals and Systems (SS) - Tu-rial,DR-405,SY,ECEAIML-SECA,f
90,ujjawalarawandale,Wednesday,08:30 - 10:30,Digital Electronics (DE) - G2,VK-302,SY,ECEAIML-SECA,f
91,deepanath,Wednesday,08:30 - 10:30,Project-Based Learning-I (G1),VK-301,SY,ECEAIML-SECA,f
92,arpitadeodikar,Wednesday,10:45 - 11:45,Calculus and Statistical Methods (CSM),DR-405,SY,ECEAIML-SECA,f
93,ujjawalarawandale,Wednesday,11:45 - 12:45,Digital Electronics (DE),DR-405,SY,ECEAIML-SECA,f
94,chetankhadse,Thursday,09:30 - 10:30,Signals and Systems (SS),DR-405,SY,ECEAIML-SECA,f
95,ujjawalarawandale,Thursday,10:45 - 12:45,Digital Electronics (DE) - G3,VK-302,SY,ECEAIML-SECA,f
96,chetankhadse,Thursday,10:45 - 12:45,Project-Based Learning-I (G2),VK-301,SY,ECEAIML-SECA,f
97,shatakshibhamre,Thursday,13:30 - 14:30,Spiritual and Cultural Heritage (SCH),DR-405,SY,ECEAIML-SECA,f
98,shatakshibhamre,Thursday,14:30 - 15:30,Spiritual and Cultural Heritage (SCH),DR-405,SY,ECEAIML-SECA,f
99,ujjawalarawandale,Friday,08:30 - 09:30,Digital Electronics (DE),DR-405,SY,ECEAIML-SECA,f
100,arpitadeodikar,Friday,09:30 - 10:30,Calculus and Statistical Methods (CSM),DR-405,SY,ECEAIML-SECA,f
101,chetankhadse,Friday,11:45 - 12:45,Signals and Systems (SS),DR-405,SY,ECEAIML-SECA,f
102,poojagundewar,Monday,08:30 - 09:30,Signals and Systems (SS),DR-406,SY,ECEAIML-SECB,f
103,nathraojadhav,Monday,09:30 - 10:30,Digital Electronics (DE),DR-406,SY,ECEAIML-SECB,f
104,sanjaykumarkinge,Monday,10:45 - 12:45,Project Based Learning (PBL)-G3,VK-301,SY,ECEAIML-SECB,f
105,nathraojadhav,Monday,10:45 - 12:45,Digital Electronics (DE)-G1,VK-302,SY,ECEAIML-SECB,f
106,rajkumarkomati,Tuesday,08:30 - 10:30,Digital Electronics (DE)-G2,JN-305,SY,ECEAIML-SECB,f
